clusterID,spread,centroidLat,centroidLon
c000750,0.0,47.24165,-102.77156
c000753,0.0,28.103631,-99.41663100000001
c000759,0.0,33.67944,-97.38502
c000773,0.0,36.50547720000001,-97.6906524
c000778,0.0,31.529031899999996,-102.9548489
c000786,0.0,41.75368333,-76.56726667
c000788,0.0,32.049856,-101.678989
c000791,0.0,29.256190000000004,-97.69301999999999
c000799,0.0,33.19083,-100.231238
c000800,0.0,31.668329999999997,-101.56195
c000804,0.0,30.517546999999997,-95.18100600000001
c000807,0.0,32.4076557199801,-103.198976260191
c000810,0.0,31.838079999999998,-101.33308000000001
c000815,0.0,31.491068,-102.936297
c000819,0.0,35.7407,-99.7694
c000825,0.0,33.022225,-102.798445
c000826,0.0,37.25338,-104.71529
c000829,0.0,36.640609999999995,-101.54428
c000830,0.0,33.050981,-97.38109399999999
c000832,0.0,29.0662042,-97.7676178
c000837,0.0,32.538146999999995,-102.63760500000001
c000841,0.0,37.12907,-101.53407
c000852,0.0,31.4513,-102.5391
c000855,0.0,36.4841506,-98.55421899999999
c000858,0.0,33.01354,-98.18244
c000862,0.0,32.760281,-103.49790300000001
c000869,0.0,36.57267,-100.77463
c000870,0.0,47.70388,-104.77251
c000872,0.0,31.476826000000003,-103.172037
c000873,0.0,31.930527,-103.13794200000001
c000880,0.0,45.111186058739,-105.117558092031
c000888,0.0,33.387493,-102.89357700000001
c000893,0.0,35.73895735,-98.71098411
c000895,0.0,31.578916999999997,-103.661443
c000901,0.0,31.470470199999998,-102.1938053
c000903,0.0,34.968478000000005,-96.352462
c000913,0.0,32.3353963,-102.0264567
c000916,0.0,37.066181,-97.78823632
c000917,0.0,32.99002,-102.906796
c000920,0.0,36.51811,-100.48125
c000922,0.0,48.240904,-102.463859
c000923,0.0,35.97139,-99.13131
c000925,0.0,31.928565999999996,-101.880313
c000926,0.0,31.440009999999997,-101.46011
c000930,0.0,35.925062,-101.84778299999999
c000938,0.0,31.523234000000002,-102.922158
c000944,0.0,33.1819,-98.16208
c000946,0.0,32.146332,-104.101763
c000947,0.0,47.1422,-102.924553
c000951,0.0,31.979491999999997,-102.64832209999999
c000958,0.0,31.35953,-100.90701
c000967,0.0,31.15694087,-103.4413437
c000968,0.0,28.609809999999996,-99.44644100000001
c000969,0.0,32.4472,-102.81267
c000976,0.0,32.6089255555556,-103.55345805555599
c000977,0.0,36.5153,-107.24535
c000984,0.0,33.07891,-97.69449
c000985,0.0,31.059941241,-103.038961176
c000989,0.0,33.055588,-98.173027
c000998,0.0,31.260014399999996,-103.32316879999999
c001000,0.0,32.435005,-102.598427
c001001,0.0,26.25266,-98.44060999999999
c001007,0.0,31.99053,-101.58293
c001017,0.0,43.48905,-105.46901000000001
c001026,0.0,43.391794,-106.27068899999999
c001029,0.0,36.642421999999996,-97.664873
c001031,0.0,40.1769,-109.833
c001036,0.0,40.023826,-110.01338999999999
c001043,0.0,34.480228718,-95.85495446
c001044,0.0,37.1941,-104.87998999999999
c001045,0.0,32.466,-102.79559300000001
c001057,0.0,31.187905999999998,-95.935895
c001060,0.0,40.19298,-110.3161
c001062,0.0,36.462720646,-98.355700065
c001063,0.0,35.95347981,-95.42241413
c001069,0.0,32.3035,-102.0188
c001095,0.0,26.7663,-99.2132
c001108,0.0,32.15256,-101.55614
c001111,0.0,31.80593,-102.33079000000001
c001112,0.0,32.5490833,-100.9242556
c001114,0.0,40.154338,-80.952543
c001121,0.0,36.17523,-107.65625
c001126,0.0,43.61889718,-105.661302
c001127,0.0,37.044627,-82.341837
c001137,0.0,26.200622,-98.88896899999999
c001139,0.0,32.401517999999996,-102.3330378
c001141,0.0,36.753639465,-98.78159615700001
