$CASNumber$,$IngredientName$,$bgCAS$,$category$,$is_new$,$clean_wo_work$,$on_ref_list$,$close_syn$,$comment$
$0.03$,$9003-35-4$,$9003-35-4$,$CAS in IngredientName$,$False$,,,$phenol, polymer with formaldehyde $,$bgCAS pulled from IngredientName field$
$0.03$,$9043-30-5$,$9043-30-5$,$CAS in IngredientName$,$False$,,,$poly(oxy-1,2-ethanediyl), î±-isotridecyl-ï‰-hydroxy- $,$bgCAS pulled from IngredientName field$
$0.03212$,$100$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.03212$,$100.00$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.03246$,$70$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.03246$,$70.00$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.03518$,$80$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.03518$,$80.00$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.03650$,$distillates (petroleum), hydrotreated light$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.04$,$1310-73-2$,$1310-73-2$,$CAS in IngredientName$,$False$,,,$sodium hydroxide (na(oh)) $,$bgCAS pulled from IngredientName field$
$0.04617$,$sodium bromate$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.05$,$107-19-7$,$107-19-7$,$CAS in IngredientName$,$False$,,,$2-propyn-1-ol $,$bgCAS pulled from IngredientName field$
$0.05$,$111-42-2$,$111-42-2$,$CAS in IngredientName$,$False$,,,$ethanol, 2,2'-iminobis- $,$bgCAS pulled from IngredientName field$
$0.05$,$1310-58-3$,$1310-58-3$,$CAS in IngredientName$,$False$,,,$potassium hydroxide (k(oh)) $,$bgCAS pulled from IngredientName field$
$0.05$,$625-45-6$,$625-45-6$,$CAS in IngredientName$,$False$,,,$acetic acid, 2-methoxy- $,$bgCAS pulled from IngredientName field$
$0.05$,$64742-94-5$,$64742-94-5$,$CAS in IngredientName$,$False$,,,$solvent naphtha (petroleum), heavy arom.$,$bgCAS pulled from IngredientName field$
$0.05$,$68953-58-2$,$68953-58-2$,$CAS in IngredientName$,$False$,,,$quaternary ammonium compounds, bis(hydrogenated tallow alkyl)dimethyl, salts with bentonite $,$bgCAS pulled from IngredientName field$
$0.05$,$8002-09-3$,$8002-09-3$,$CAS in IngredientName$,$False$,,,$pine oil $,$bgCAS pulled from IngredientName field$
$0.05$,$proprietary$,$proprietary$,$proprietary$,$False$,,,,
$0.05279$,$formic acid$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.07$,$68131-71-5$,$68131-71-5$,$CAS in IngredientName$,$False$,,,$polyphosphoric acids, esters with triethanolamine $,$bgCAS pulled from IngredientName field$
$0.075$,$7647-01-0$,$7647-01-0$,$CAS in IngredientName$,$False$,,,$hydrochloric acid $,$bgCAS pulled from IngredientName field$
$0.08437$,$proprietary$,$proprietary$,$proprietary$,$False$,,,,
$0.0889682799930225$,$1$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.09137$,$16$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.09137$,$16.00$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.09538$,$sodium tetraborate$,$ambiguous$,$Non-CAS$,$False$,,,,
$0.1$,$107-19-7$,$107-19-7$,$CAS in IngredientName$,$False$,,,$2-propyn-1-ol $,$bgCAS pulled from IngredientName field$
$0.1$,$107-21-1$,$107-21-1$,$CAS in IngredientName$,$False$,,,$1,2-ethanediol $,$bgCAS pulled from IngredientName field$
$0.1$,$112-27-6$,$112-27-6$,$CAS in IngredientName$,$False$,,,$ethanol, 2,2'-[1,2-ethanediylbis(ox $,$bgCAS pulled from IngredientName field$
$0.1$,$12125-02-9$,$12125-02-9$,$CAS in IngredientName$,$False$,,,$ammonium chloride ((nh4)cl) $,$bgCAS pulled from IngredientName field$
$0.1$,$1310-58-3$,$1310-58-3$,$CAS in IngredientName$,$False$,,,$potassium hydroxide (k(oh)) $,$bgCAS pulled from IngredientName field$
$0.1$,$1310-73-2$,$1310-73-2$,$CAS in IngredientName$,$False$,,,$sodium hydroxide (na(oh)) $,$bgCAS pulled from IngredientName field$
$0.1$,$14808 - 60 - 7$,$14808-60-7$,$CAS in IngredientName$,$False$,,,$quartz (sio2) $,$bgCAS pulled from IngredientName field$
$0.1$,$14808-60-7$,$14808-60-7$,$CAS in IngredientName$,$False$,,,$quartz (sio2) $,$bgCAS pulled from IngredientName field$
$0.1$,$26027-38-3$,$26027-38-3$,$CAS in IngredientName$,$False$,,,$poly(oxy-1,2-ethanediyl), î±-(4-nonylphenyl)-ï‰-hydroxy- $,$bgCAS pulled from IngredientName field$
$0.1$,$68603-42-9$,$68603-42-9$,$CAS in IngredientName$,$False$,,,$amides, coco, n,n-bis(hydroxyethy$,$bgCAS pulled from IngredientName field$
$0.1$,$81741-28-8$,$81741-28-8$,$CAS in IngredientName$,$False$,,,$phosphonium, tributyltetradecyl-, chloride (1:1) $,$bgCAS pulled from IngredientName field$
$0.1$,$proprietary$,$proprietary$,$proprietary$,$False$,,,,
$0.10$,$1309-37-1$,$1309-37-1$,$CAS in IngredientName$,$False$,,,$iron oxide (fe2o3) $,$bgCAS pulled from IngredientName field$
$0.10$,$13463-67-7$,$13463-67-7$,$CAS in IngredientName$,$False$,,,$titanium oxide (tio2) $,$bgCAS pulled from IngredientName field$
$0.11444$,$100$,$ambiguous$,$Non-CAS$,$False$,,,,
