,$CASNumber$,$IngredientName$,$clean_wo_work$,$bgCAS$,$category$,$date_added$,$date_curated$,$is_new$,$stat$,$bgCASgood$
$5484$,$1302-36-2$,$Corundum$,$False$,,$ambiguous$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$2113$,$007664-93-9$,$Sulfuric Acid$,$False$,$7664-93-9$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2123$,$007722-84-1$,$Hydrogen Peroxide$,$False$,$7722-84-1$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2126$,$007727-54-0$,$Ammonium Persulfate$,$False$,$7727-54-0$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2132$,$007732-18-5$,$Water$,$False$,$7732-18-5$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2138$,$007757-82-6$,$Sodium Sulfate Anhydrous$,$False$,$7757-82-6$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2142$,$007758-19-2$,$Sodium Chlorite$,$False$,$7758-19-2$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2145$,$007775-27-1$,$Sodium Persulfate$,$False$,$7775-27-1$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2147$,$007778-53-2$,$Potassium Phosphate$,$False$,$7778-53-2$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2149$,$007789-38-0$,$Sodium Bromate$,$False$,$7789-38-0$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2158$,$009000-30-0$,$Guar Gum$,$False$,$9000-30-0$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2165$,$009003-05-8$,$Ethylene oxide, propylene$,$False$,$9003-05-8$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2170$,$009003-35-4$,$Phenol/Formaldehyde Resin$,$False$,$9003-35-4$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2177$,$009012-54-8$,$Hemicellulase Enzyme$,$False$,$9012-54-8$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2179$,$009016-45-9$,$Ethoxylated Nonyl Phenol (Nonyl Phenol Ethoxylate)$,$False$,$9016-45-9$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2189$,$010025-69-1$,$Stannous Chloride Dihydrate$,$False$,$10025-69-1$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2191$,$010043-35-3$,$Boric Acid$,$False$,$10043-35-3$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2193$,$010043-52-4$,$Calcium Chloride$,$False$,$10043-52-4$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2194$,$010049-04-4$,$Chlorine Dioxide$,$False$,$10049-04-4$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2202$,$010486-00-7$,$Sodium perborate tetrahydrate$,$False$,$10486-00-7$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2203$,$010555-76-7$,$Sodium Metaborate Tetrahydrate$,$False$,$10555-76-7$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2214$,$012125-02-9$,$Quaternary Ammonium Chloride$,$False$,$12125-02-9$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2215$,$012125-02-9$,$Quaternary Ammonium Chloride (Ammonium Chloride)$,$False$,$12125-02-9$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2220$,$013598-36-2$,$Phosphonic Acid$,$False$,$13598-36-2$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2221$,$013598-39-2$,$Phosphoic acid$,$False$,,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$unk$,
$2223$,$013709-94-9$,$Potassium Metaborate$,$False$,$13709-94-9$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2231$,$014808-60-7$,$Crystalline Silica (Quartz Sand, Silicon$,$False$,$14808-60-7$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2232$,$014808-60-7$,$Crystalline Silica (Quartz Sand, Silicon Dioxide)$,$False$,$14808-60-7$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2240$,$015619-48-4$,$Chloromethylnaphthalene quinoline quaternary amine$,$False$,$15619-48-4$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2243$,$017593-73-6$,$Iminodiacetate disodium salt$,$False$,$17593-73-6$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2248$,$025085-02-3$,$2-Propenoic Acid, Sodium Salt, Polymer with 2-Propenamide$,$False$,$25085-02-3$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2251$,$025987-30-8$,$Copolymer of Acrylamide and Sodium Acrylate$,$False$,$25987-30-8$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2260$,$027176-87-0$,$Dodecylbenzenesulfonic Acid$,$False$,$27176-87-0$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2262$,$031726-34-8$,$Polyethylene glycol monohexyl ether$,$False$,$31726-34-8$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2274$,$051838-31-4$,$Polyepichlorohydrin, Trimethyl Amine Quaternized$,$False$,$51838-31-4$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2279$,$061789-71-7$,$Quatemary Ammonium Chloride$,$False$,$61789-71-7$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2289$,$06381-77-7$,$Sodium Isoascorbate$,$False$,$6381-77-7$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2290$,$06381-77-7$,$Sodium Ispascorbate$,$False$,$6381-77-7$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2304$,$064741-85-1$,$Distillates (Petroleum)$,$False$,$64741-85-1$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2305$,$064741-85-1$,$Petroleum Distillate$,$False$,$64741-85-1$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2322$,$064742-47-8$,$Petroleum Distallate Hydrotreated Light$,$False$,$64742-47-8$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2326$,$064742-47-8$,$Petroleum Distillate Hydrotreated Light$,$False$,$64742-47-8$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2328$,$064742-48-9$,$Naphtha, hydrotreated heavy$,$False$,$64742-48-9$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2330$,$064742-94-5$,$Heavy Aromatic Naphtha (Naphtha,$,$False$,$64742-94-5$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2331$,$064742-94-5$,$Heavy Aromatic Naphtha (Naphtha, Petroleum Naphtha, Catalytic$,$False$,$64742-94-5$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2332$,$064742-94-5$,$Heavy Aromatic Naphtha (Naphtha, Petroleum Naphtha, Catalytic Reformed Naphtha, Heavy Paraffinic$,$False$,$64742-94-5$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2333$,$064742-94-5$,$Heavy Aromatic Naphtha (Naphtha, Petroleum Naphtha, Catalytic Reformed Naphtha, Heavy Paraffinic Distillate)$,$False$,$64742-94-5$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2339$,$067762-90-7$,$Silica, amorphous precipitated$,$False$,$67762-90-7$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2340$,$068002-97-1$,$Alcohol ethoxylate C-10/16 with 6.5 EO$,$False$,$68002-97-1$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2346$,$068130-15-4$,$Polysaccharide$,$False$,$68130-15-4$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2350$,$068391-01-5$,$Quaternary Ammonium Compounds, benzyl-C12-18-alkyldimethyl, chlorides$,$False$,$68391-01-5$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2351$,$068412-54-4$,$Branched-Ethoxylated Nonyl Phenol (Branched-Nonyl Phenol Ethoxylate)$,$False$,$68412-54-4$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2355$,$068424-85-1$,$Quaternary Ammonium Compound$,$False$,$68424-85-1$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2356$,$068424-85-1$,$Quaternary ammonium compound$,$False$,$68424-85-1$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2363$,$068439-51-0$,$Surfactant$,$False$,$68439-51-0$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
$2393$,$072480-70-7$,$Tar bases, quinoline derivs, benzyl chloride-qauternized$,$False$,$72480-70-7$,$auth: cleaned$,$2021-04-01$,$2021-04-02$,$False$,$verified;normal$,
