,CASNumber,IngredientName,clean_wo_work,bgCAS,category,date_added,date_curated,is_new,stat,comment
0,68434-57-6,$Alkyl (C-14-C16) Olefin Sulfonate, Sodium Salt$,False,,ambiguous,2021-04-01,2021-04-02,True,unk,
199,1314-28-1,Aluminum Oxide,False,1344-28-1,auth: corrected,2021-04-01,2021-04-02,True,unk,
200,617888-62-3,$Amines, Dicoco Alkymethyl$,False,61788-62-3,auth: corrected,2021-04-01,2021-04-02,True,unk,
201,68131-75-5,Amino TriEthyl Phosphate Ester,False,68131-71-5,auth: corrected,2021-04-01,2021-04-02,True,unk,
202,7664-47-7,Ammonia,False,7664-41-7,auth: corrected,2021-04-01,2021-04-02,True,unk,
203,7664-4-41-7,Ammonia,False,7664-41-7,auth: corrected,2021-04-01,2021-04-02,True,unk,
204,68187-17-5,Ammonium Alcohol Ether Sulfate,False,68187-17-7,auth: corrected,2021-04-01,2021-04-02,True,unk,
205,1101920-30-0,Ammonium bisulfite,False,10192-30-0,auth: corrected,2021-04-01,2021-04-02,True,unk,
206,12125-05-9,Ammonium chloride,False,12125-02-9,auth: corrected,2021-04-01,2021-04-02,True,unk,
207,12125-02-6,AMMONIUM CHLORIDE,False,12125-02-9,auth: corrected,2021-04-01,2021-04-02,True,unk,
208,12125-02-09,Ammonium Chloride,False,12125-02-9,auth: corrected,2021-04-01,2021-04-02,True,unk,
209,7775-54-0,Ammonium Persulfate,False,7727-54-0,auth: corrected,2021-04-01,2021-04-02,True,unk,
210,7775-54-0,Ammonium persulfate,False,7727-54-0,auth: corrected,2021-04-01,2021-04-02,True,unk,
211,77727-54-0,Ammonium Persulfate,False,7727-54-0,auth: corrected,2021-04-01,2021-04-02,True,unk,
212,783-20-2,Ammonium Sulfate,False,7783-20-2,auth: corrected,2021-04-01,2021-04-02,True,unk,
213,12125-02-09,Amonium Chloride,False,12125-02-9,auth: corrected,2021-04-01,2021-04-02,True,unk,
214,25085-02-03,Anionic Polyacrylamide,False,25085-02-3,auth: corrected,2021-04-01,2021-04-02,True,unk,
215,7732-18-52,Assumed Carrier - Hydrogen Hydroxide,False,7732-18-5,auth: corrected,2021-04-01,2021-04-02,True,unk,
216,7732-18-52,Assumed Carrier Material - Hydrogen Hydroxide,False,7732-18-5,auth: corrected,2021-04-01,2021-04-02,True,unk,
217,13181-60-7,Bauxite,True,13181-16-7,auth: corrected,2021-04-01,2021-04-02,True,valid_but_empty,
218,12188-68-4,$Bentonite, benzle(hydrogenated tallow alkyl) dimethylammonium sterate complex$,False,121888-68-4,auth: corrected,2021-04-01,2021-04-02,True,unk,
219,65-85-5,Benzoic Acid,False,65-85-0,auth: corrected,2021-04-01,2021-04-02,True,unk,
220,34690(cid:3235)00(cid:3235)1,$Bishexamethylenetriamine, pentamethylenepentaphosphonic acid$,False,34690-00-1,auth: corrected,2021-04-01,2021-04-02,True,unk,
221,52-27-1,Bronopol,False,52-51-7,auth: corrected,2021-04-01,2021-04-02,True,unk,
222,8/6/2426,Butyl glycidyl ether,False,2426-08-6,auth: corrected,2021-04-01,2021-04-02,True,unk,
223,84138-50-6,$C12-14 secondary, Ethoxylated Alcohol$,False,84133-50-6,auth: corrected,2021-04-01,2021-04-02,True,unk,
