$rawName$,$cleanName$,$xlateName$,$status$
$Aegis Chem.$,$aegis chem.$,$aegis$,$curated$
$Aegis chemcial solutions$,$aegis chemcial solutions$,$aegis$,$curated$
$Aegis Chemical$,$aegis chemical$,$aegis$,$curated$
$Aegis Chemical Solution$,$aegis chemical solution$,$aegis$,$curated$
$Aegis Chemical Solutions$,$aegis chemical solutions$,$aegis$,$curated$
$AEGIS Chemical Solutions$,$aegis chemical solutions$,$aegis$,$curated$
$AEGIS CHEMICAL SOLUTIONS$,$aegis chemical solutions$,$aegis$,$curated$
$Aegis Chemical Solutions, LLC$,$aegis chemical solutions, llc$,$aegis$,$curated$
$Aegis-Chem.$,$aegis-chem.$,$aegis$,$curated$
$Aegisl$,$aegisl$,$aegis$,$curated$
$Aera Energy LLC$,$aera energy llc$,$aera energy$,$curated$
$AES Fluids$,$aes fluids$,$aes frac fluids$,$curated$
$AES Frac Fluids$,$aes frac fluids$,$aes frac fluids$,$curated$
$Aethon$,$aethon$,$aethon$,$curated$
$Aethon Energy Operating LLC$,$aethon energy operating llc$,$aethon$,$curated$
$AEXCO Petroleum$,$aexco petroleum$,$aexco petroleum$,$curated$
$AEXCO Petroleum Inc.$,$aexco petroleum inc.$,$aexco petroleum$,$curated$
$Agave Oil & Gas, LLC$,$agave oil & gas, llc$,$agave oil & gas$,$curated$
$Ageis$,$ageis$,$ageis$,$curated$
$Ageron$,$ageron$,$ageron$,$curated$
$Ageron Energy, LLC.$,$ageron energy, llc.$,$ageron$,$curated$
$Agri Empresa$,$agri empresa$,$agri-empressa$,$curated$
$Agri-Emppresa$,$agri-emppresa$,$agri-empressa$,$curated$
$AGRI-EMPR ESSA$,$agri-empr essa$,$agri-empressa$,$curated$
$Agri-Empres a$,$agri-empres a$,$agri-empressa$,$curated$
$Agri-Empres sa$,$agri-empres sa$,$agri-empressa$,$curated$
$Agri-Empresa$,$agri-empresa$,$agri-empressa$,$curated$
$AGRI-EMPRESA LLC$,$agri-empresa llc$,$agri-empressa$,$curated$
$Agri-Empresa, Inc.$,$agri-empresa, inc.$,$agri-empressa$,$curated$
$Agri-Empressa$,$agri-empressa$,$agri-empressa$,$curated$
$AGRI-IMPRESS$,$agri-impress$,$agri-empressa$,$curated$
$AGRI-IMPRESSA$,$agri-impressa$,$agri-empressa$,$curated$
$Agri-Impressa$,$agri-impressa$,$agri-empressa$,$curated$
$AgriEmpress a$,$agriempress a$,$agri-empressa$,$curated$
$AgriEmpressa$,$agriempressa$,$agri-empressa$,$curated$
$Ahrberg Mill, Allen$,$ahrberg mill, allen$,$ahrberg mill allen$,$curated$
$AI Sealing$,$ai sealing$,$ai-sealing$,$curated$
$AI Sealing LLC$,$ai sealing llc$,$ai-sealing$,$curated$
$AI-Sealing$,$ai-sealing$,$ai-sealing$,$curated$
$AI-SEALING$,$ai-sealing$,$ai-sealing$,$curated$
$AI-Sealing LLC$,$ai-sealing llc$,$ai-sealing$,$curated$
$AI-Sealing, LLC$,$ai-sealing, llc$,$ai-sealing$,$curated$
$AI-SEALING, LLC$,$ai-sealing, llc$,$ai-sealing$,$curated$
$AIM Services$,$aim services$,$aim services$,$curated$
$Air liquide$,$air liquide$,$air products/air liquide$,$curated$
$AIR LIQUIDE$,$air liquide$,$air products/air liquide$,$curated$
$Air Liquide$,$air liquide$,$air products/air liquide$,$curated$
$Air Products$,$air products$,$air products/air liquide$,$curated$
$Air Products/ Air Liquide$,$air products/ air liquide$,$air products/air liquide$,$curated$
$Air Products/Air Liquide$,$air products/air liquide$,$air products/air liquide$,$curated$
$Air Products/Air Liquiders$,$air products/air liquiders$,$air products/air liquide$,$curated$
$Air Products/air Liquids$,$air products/air liquids$,$air products/air liquide$,$curated$
$Air Products/Air Liquids$,$air products/air liquids$,$air products/air liquide$,$curated$
$AIRE LIQUIDE$,$aire liquide$,$air products/air liquide$,$curated$
$Airgas$,$airgas$,$airgas$,$curated$
$Airliquide$,$airliquide$,$air products/air liquide$,$curated$
$Airproduct/Airliquide$,$airproduct/airliquide$,$air products/air liquide$,$curated$
$Ajax Resources, LLC$,$ajax resources, llc$,$ajax resources$,$curated$
$Akron City Water$,$akron city water$,$ambiguous$,$curated$
$AL-Sealing$,$al-sealing$,$ai-sealing$,$curated$
$Al-Sealing$,$al-sealing$,$ai-sealing$,$curated$
$AL-SEALING$,$al-sealing$,$ai-sealing$,$curated$
$Al-Sealing LLC$,$al-sealing llc$,$ai-sealing$,$curated$
$ALAMO PRESSURE PUMPING$,$alamo pressure pumping$,$alamo pressure pumping$,$curated$
$ALAMO PRESSURE PUMPING LLC$,$alamo pressure pumping llc$,$alamo pressure pumping$,$curated$
$Alamo Pressure Pumping,LLC$,$alamo pressure pumping,llc$,$alamo pressure pumping$,$curated$
$Alchemy$,$alchemy$,$alchemy$,$curated$
$Alchemy Sciences$,$alchemy sciences$,$alchemy$,$curated$
$Alchemy Sciences Field Operations$,$alchemy sciences field operations$,$alchemy$,$curated$
$Alcohol Ethoxylated$,$alcohol ethoxylated$,$not a company$,$curated$
$Alice, TX$,$alice, tx$,$ambiguous$,$curated$
$Aliphatic alcohol$,$aliphatic alcohol$,$not a company$,$curated$
$Aliphatic polyol$,$aliphatic polyol$,$not a company$,$curated$
$Alkyl  pyridinium chloride$,$alkyl  pyridinium chloride$,$not a company$,$curated$
$Alkyl Phosphate Ester$,$alkyl phosphate ester$,$not a company$,$curated$
$Alkylene Oxide Block Polymer$,$alkylene oxide block polymer$,$not a company$,$curated$
$allan baugh$,$allan baugh$,$allan baugh$,$curated$
$AllChem$,$allchem$,$allchem$,$curated$
$Allchem Services$,$allchem services$,$allchem$,$curated$
$Allchem Services, Inc.$,$allchem services, inc.$,$allchem$,$curated$
$Allegro Investments, Inc.$,$allegro investments, inc.$,$allegro investments$,$curated$
$ALLEN BROTHERS$,$allen brothers$,$allen brothers$,$curated$
$Allen Brothers$,$allen brothers$,$allen brothers$,$curated$
$Alliance Chemical$,$alliance chemical$,$alliance chemical$,$curated$
$alliburton$,$alliburton$,$halliburton$,$curated$
$ALLIED OIL & GAS SERVICES LLC$,$allied oil & gas services llc$,$allied oil & gas services$,$curated$
$Allied Oil & Gas Services, LLC$,$allied oil & gas services, llc$,$allied oil & gas services$,$curated$
$Alpha Shale Resource, LP$,$alpha shale resource, lp$,$alpha shale resource$,$curated$
$Alpine$,$alpine$,$alpine$,$curated$
$Alpine Gas Operator$,$alpine gas operator$,$alpine$,$curated$
$als, Inc.$,$als, inc.$,$als$,$curated$
$Alta$,$alta$,$alta$,$curated$
$Alta Mesa$,$alta mesa$,$alta mesa$,$curated$
$Alta Mesa Holdings$,$alta mesa holdings$,$alta mesa$,$curated$
$Alta Mesa Holdings, L.P.$,$alta mesa holdings, l.p.$,$alta mesa$,$curated$
$Alta Mesa Services, LP$,$alta mesa services, lp$,$alta mesa$,$curated$
$Alta Resources$,$alta resources$,$alta resources$,$curated$
$Alta Vista Oil Corporation$,$alta vista oil corporation$,$alta vista oil corporation$,$curated$
$Altamont Energy$,$altamont energy$,$altamont energy$,$curated$
$AM Idaho$,$am idaho$,$am idaho$,$curated$
$AMEREDEV$,$ameredev$,$ameredev$,$curated$
$Ameredev LLC$,$ameredev llc$,$ameredev$,$curated$
$Ameredev Operations LLC$,$ameredev operations llc$,$ameredev$,$curated$
$American Eagle Energy$,$american eagle energy$,$american eagle energy$,$curated$
$American Eagle Energy Corporation$,$american eagle energy corporation$,$american eagle energy$,$curated$
$American Energy - Marcellus, LLC$,$american energy - marcellus, llc$,$american energy$,$curated$
$American Energy - Utica, LLC$,$american energy - utica, llc$,$american energy$,$curated$
