$rawName$,$cleanName$,$xlateName$,$status$
$BlackBrush O &amp; G, Inc.$,$blackbrush o &amp; g, inc.$,$blackbrush$,$curated$
$Blackbrush O and G$,$blackbrush o and g$,$blackbrush$,$curated$
$Blackbrush Oil & Gas$,$blackbrush oil & gas$,$blackbrush$,$curated$
$BlackBrush Oil and Gas$,$blackbrush oil and gas$,$blackbrush$,$curated$
$Blackcreek$,$blackcreek$,$black creek$,$curated$
$Blackhawk Drilling Products, Inc.$,$blackhawk drilling products, inc.$,$blackhawk drilling products$,$curated$
$Blackmountain$,$blackmountain$,$black mountain$,$curated$
$BlackRidge Resource Partners$,$blackridge resource partners$,$blackridge resource partners$,$curated$
$BlackStar$,$blackstar$,$blackstar$,$curated$
$Blackstar$,$blackstar$,$blackstar$,$curated$
$BlackStar Energy Services$,$blackstar energy services$,$blackstar$,$curated$
$Blackstar Energy Services$,$blackstar energy services$,$blackstar$,$curated$
$Blackstone Seminole LLC$,$blackstone seminole llc$,$blackstone seminole$,$curated$
$BlackWell Exp & Development, LLC$,$blackwell exp & development, llc$,$blackwell exp & development$,$curated$
$Blake Produciton$,$blake produciton$,$blake production$,$curated$
$Blake Production$,$blake production$,$blake production$,$curated$
$Blake Production Company, Inc.$,$blake production company, inc.$,$blake production$,$curated$
$BLAKE PRODUCTION COMPANY, INC.$,$blake production company, inc.$,$blake production$,$curated$
$Blakenergy Operating, LLC$,$blakenergy operating, llc$,$blakenergy operating$,$curated$
$BlakeProduction$,$blakeproduction$,$blake production$,$curated$
$Blend Tech$,$blend tech$,$blentech$,$curated$
$BlenTech$,$blentech$,$blentech$,$curated$
$Blentech$,$blentech$,$blentech$,$curated$
$BlenTech Corp.$,$blentech corp.$,$blentech$,$curated$
$Blentech Corporation$,$blentech corporation$,$blentech$,$curated$
$BLS Production Co., Inc.$,$bls production co., inc.$,$bls production$,$curated$
$Blsck Mountain Sand$,$blsck mountain sand$,$black mountain$,$curated$
$BLUE CHIP OIL INC$,$blue chip oil inc$,$blue chip oil$,$curated$
$Blue Devil Exploration LLC$,$blue devil exploration llc$,$blue devil exploration$,$curated$
$Blue Dolphin$,$blue dolphin$,$blue dolphin$,$curated$
$Blue Dolphin Production, LLC$,$blue dolphin production, llc$,$blue dolphin$,$curated$
$Blue Ox Partners$,$blue ox partners$,$blue ox partners$,$curated$
$Blue Ox Partners LLC$,$blue ox partners llc$,$blue ox partners$,$curated$
$Blue Quail , LTD$,$blue quail , ltd$,$blue quail$,$curated$
$BLUE RIBBON$,$blue ribbon$,$blue ribbon$,$curated$
$Blue Ribbon$,$blue ribbon$,$blue ribbon$,$curated$
$Blue Ribbon Tachnology$,$blue ribbon tachnology$,$blue ribbon$,$curated$
$Blue Ribbon Technologies$,$blue ribbon technologies$,$blue ribbon$,$curated$
$Blue Ribbon Technology$,$blue ribbon technology$,$blue ribbon$,$curated$
$Blue Ridge Mountain Resources$,$blue ridge mountain resources$,$blue ridge mountain resources$,$curated$
$Blue Water Resources$,$blue water resources$,$blue water$,$curated$
$Blue Water Resources, LLC$,$blue water resources, llc$,$blue water$,$curated$
$Blue Water TPX Operating$,$blue water tpx operating$,$blue water$,$curated$
$Blue Water TPX Operating Co., LLC$,$blue water tpx operating co., llc$,$blue water$,$curated$
$BlueCrest Alaska Operating LLC$,$bluecrest alaska operating llc$,$bluecrest alaska operating$,$curated$
$Bluefin$,$bluefin$,$bluefin$,$curated$
$Bluefin Resources LLC$,$bluefin resources llc$,$bluefin$,$curated$
$BlueRibbon$,$blueribbon$,$blue ribbon$,$curated$
$BlueRibbonTechnology$,$blueribbontechnology$,$blue ribbon$,$curated$
$Bluescape Resources$,$bluescape resources$,$bluescape resources$,$curated$
$BlueStem$,$bluestem$,$bluestem$,$curated$
$Bluestem$,$bluestem$,$bluestem$,$curated$
$BlueStem Energy$,$bluestem energy$,$bluestem$,$curated$
$Bluestem Energy$,$bluestem energy$,$bluestem$,$curated$
$Bluestem Energy Holdings, LLC$,$bluestem energy holdings, llc$,$bluestem$,$curated$
$Bluestone$,$bluestone$,$bluestone$,$curated$
$Bluestone Natural Res.$,$bluestone natural res.$,$bluestone$,$curated$
$Bluestone Natural Resources$,$bluestone natural resources$,$bluestone$,$curated$
$BlueStone Natural Resources$,$bluestone natural resources$,$bluestone$,$curated$
$BLX, Inc.$,$blx, inc.$,$blx$,$curated$
$BMC$,$bmc$,$bmc$,$curated$
$BMR$,$bmr$,$bmr$,$curated$
$BMR II$,$bmr ii$,$bmr$,$curated$
$BNK Petroleum$,$bnk petroleum$,$bnk petroleum$,$curated$
$BNK Petroleum (US) Inc$,$bnk petroleum (us) inc$,$bnk petroleum$,$curated$
$BNK Petroleum (US) Inc.$,$bnk petroleum (us) inc.$,$bnk petroleum$,$curated$
$Boaz$,$boaz$,$boaz$,$curated$
$Boaz Energy$,$boaz energy$,$boaz$,$curated$
$Boaz Energy II Operating, LLC$,$boaz energy ii operating, llc$,$boaz$,$curated$
$Boaz Energy, LLC.$,$boaz energy, llc.$,$boaz$,$curated$
$Bobcat$,$bobcat$,$bobcat$,$curated$
$Bobeaux Trucking$,$bobeaux trucking$,$bobeaux trucking$,$curated$
$Bold Energy lii, LLC$,$bold energy lii, llc$,$bold energy$,$curated$
$Bold Energy, LLC$,$bold energy, llc$,$bold energy$,$curated$
$Bold Operating, LLC$,$bold operating, llc$,$bold operating$,$curated$
$Bonanza Creek Energy, Inc.$,$bonanza creek energy, inc.$,$bonanza creek energy$,$curated$
$BOPCO, LP$,$bopco, lp$,$bopco$,$curated$
$Boque$,$boque$,$bosque$,$curated$
$Borate Crosslinker$,$borate crosslinker$,$not a company$,$curated$
$Borderline Operating Corp$,$borderline operating corp$,$borderline operating corp$,$curated$
$Boscque$,$boscque$,$bosque$,$curated$
$Bosque$,$bosque$,$bosque$,$curated$
$BOSQUE$,$bosque$,$bosque$,$curated$
$Bosque Chemical Solutions$,$bosque chemical solutions$,$bosque$,$curated$
$Bosque Disposal Systems$,$bosque disposal systems$,$bosque$,$curated$
$Bosque Disposal Systems LLC$,$bosque disposal systems llc$,$bosque$,$curated$
$Bosque Disposal Systems, LLC$,$bosque disposal systems, llc$,$bosque$,$curated$
$Bosque Services$,$bosque services$,$bosque$,$curated$
$Bosque Services, LLC$,$bosque services, llc$,$bosque$,$curated$
$Bosque Solutions$,$bosque solutions$,$bosque$,$curated$
$BOSQUE SYSTEM$,$bosque system$,$bosque$,$curated$
$Bosque System, LLC$,$bosque system, llc$,$bosque$,$curated$
$BOSQUE SYSTEMS$,$bosque systems$,$bosque$,$curated$
$Bosque Systems$,$bosque systems$,$bosque$,$curated$
$BOSQUE SYSTEMS LLC$,$bosque systems llc$,$bosque$,$curated$
$Bosque Systems LLC$,$bosque systems llc$,$bosque$,$curated$
$Bosque Systems, LLC$,$bosque systems, llc$,$bosque$,$curated$
$Bosque Systems, LLC.$,$bosque systems, llc.$,$bosque$,$curated$
$BOSQUE SYSTMES$,$bosque systmes$,$bosque$,$curated$
$Bosque/OxyChem$,$bosque/oxychem$,$bosque$,$curated$
$Bowles Energy, Inc.$,$bowles energy, inc.$,$bowles energy$,$curated$
$BP$,$bp$,$bp$,$curated$
$BP America$,$bp america$,$bp$,$curated$
$BP America Production Company$,$bp america production company$,$bp$,$curated$
$BPS Jet$,$bps jet$,$bps$,$curated$
$BPS Oil and Gas$,$bps oil and gas$,$bps$,$curated$
$BPX$,$bpx$,$bpx$,$curated$
$BPX Operating Company$,$bpx operating company$,$bpx$,$curated$
$BPX Operating Company (BP America Production Co.)$,$bpx operating company (bp america production co.)$,$bpx$,$curated$
$BR-FR$,$br-fr$,$br-fr$,$curated$
$Brahman Resource Partners LLC$,$brahman resource partners llc$,$brahman resource partners$,$curated$
$Brahman Resource Partners, LLC$,$brahman resource partners, llc$,$brahman resource partners$,$curated$
$BRAINAED$,$brainaed$,$brainerd$,$curated$
$BRAINARD$,$brainard$,$brainerd$,$curated$
$Brainerd$,$brainerd$,$brainerd$,$curated$
$Brainerd Chemical$,$brainerd chemical$,$brainerd$,$curated$
$Braka$,$braka$,$braka$,$curated$
$Braka Operating, LLC$,$braka operating, llc$,$braka$,$curated$
$Brammer Engineering$,$brammer engineering$,$brammer engineering$,$curated$
$Brammer Engineering, Inc.$,$brammer engineering, inc.$,$brammer engineering$,$curated$
$Bratco Operating Company$,$bratco operating company$,$bratco operating company$,$curated$
$Bravo Arkoma LLC$,$bravo arkoma llc$,$bravo$,$curated$
$BRAVO ARKOMA LLC-TULSA$,$bravo arkoma llc-tulsa$,$bravo$,$curated$
$Bravo Natural Gas, LLC$,$bravo natural gas, llc$,$bravo$,$curated$
$Bravo Natural Resources$,$bravo natural resources$,$bravo$,$curated$
$BRAVO NATURAL RESOURCES-TULSA$,$bravo natural resources-tulsa$,$bravo$,$curated$
$Brazos River Exploration LLC$,$brazos river exploration llc$,$brazos river exploration llc$,$curated$
$Break fluid$,$break fluid$,$not a company$,$curated$
$Breaker$,$breaker$,$not a company$,$curated$
$BREAKERS AND BREAKER CATALYSTS$,$breakers and breaker catalysts$,$not a company$,$curated$
$BREANNTAG SOUTHWEST, INC$,$breanntag southwest, inc$,$brenntag$,$curated$
$BREANNTAG SOUTHWEST, Inc$,$breanntag southwest, inc$,$brenntag$,$curated$
$Breck Operating Corp.$,$breck operating corp.$,$breck operating corp$,$curated$
$Breck Operating Corporation$,$breck operating corporation$,$breck operating corp$,$curated$
$BreitBurn$,$breitburn$,$breitburn$,$curated$
$BreitBurn Operating LP$,$breitburn operating lp$,$breitburn$,$curated$
$BREITBURN OPERATING LP$,$breitburn operating lp$,$breitburn$,$curated$
$Breitling Operating Corp.$,$breitling operating corp.$,$breitling$,$curated$
$Breitling Operating Corporation$,$breitling operating corporation$,$breitling$,$curated$
$Brenatag$,$brenatag$,$brenntag$,$curated$
$Brenntag$,$brenntag$,$brenntag$,$curated$
$BRENNTAG$,$brenntag$,$brenntag$,$curated$
$Brenntag / Coastal Chemical Co LLC$,$brenntag / coastal chemical co llc$,$brenntag$,$curated$
$Brenntag Mid-South Inc.$,$brenntag mid-south inc.$,$brenntag$,$curated$
$Brenntag Pacific Inc$,$brenntag pacific inc$,$brenntag$,$curated$
$Brenntag Pacific Inc.$,$brenntag pacific inc.$,$brenntag$,$curated$
$Brenntag Pacific, Inc.$,$brenntag pacific, inc.$,$brenntag$,$curated$
$Brenntag Southwest$,$brenntag southwest$,$brenntag$,$curated$
$BRENNTAG SOUTHWEST$,$brenntag southwest$,$brenntag$,$curated$
$BRENNTAG Southwest Inc$,$brenntag southwest inc$,$brenntag$,$curated$
$Brenntag Southwest inc$,$brenntag southwest inc$,$brenntag$,$curated$
$BRENNTAG SOUTHWEST INC$,$brenntag southwest inc$,$brenntag$,$curated$
$BRENNTAG SOUTHWEST Inc$,$brenntag southwest inc$,$brenntag$,$curated$
$Brenntag Southwest Inc$,$brenntag southwest inc$,$brenntag$,$curated$
$Brenntag Southwest Inc.$,$brenntag southwest inc.$,$brenntag$,$curated$
$BRENNTAG SOUTHWEST, INC$,$brenntag southwest, inc$,$brenntag$,$curated$
$BRENNTAG SOUTHWEST, Inc$,$brenntag southwest, inc$,$brenntag$,$curated$
$Brenntag Southwest, Inc$,$brenntag southwest, inc$,$brenntag$,$curated$
$Brenntag Southwest, Inc.$,$brenntag southwest, inc.$,$brenntag$,$curated$
$BRENNTAG SOUTHWEST, INC.$,$brenntag southwest, inc.$,$brenntag$,$curated$
$BRENNTAG SOUTHWEST, Inc.$,$brenntag southwest, inc.$,$brenntag$,$curated$
$BRENNTAG SOUTHWEST,Inc$,$brenntag southwest,inc$,$brenntag$,$curated$
$Brenntag Southwest. Inc$,$brenntag southwest. inc$,$brenntag$,$curated$
$Brenntag Southwst, Inc.$,$brenntag southwst, inc.$,$brenntag$,$curated$
$Brenntag-OneCor$,$brenntag-onecor$,$brenntag$,$curated$
$Brenntag/ Coastal Chemical$,$brenntag/ coastal chemical$,$brenntag$,$curated$
$Brenntag/Coastal Chemical Co LLC$,$brenntag/coastal chemical co llc$,$brenntag$,$curated$
$Brenntag/Coastal Chemical Co., LLC$,$brenntag/coastal chemical co., llc$,$brenntag$,$curated$
$Brennttag$,$brennttag$,$brenntag$,$curated$
$Brentag$,$brentag$,$brenntag$,$curated$
$Brentagg$,$brentagg$,$brenntag$,$curated$
$BRETAGG SOUTHWEST$,$bretagg southwest$,$brenntag$,$curated$
$BRG$,$brg$,$brg$,$curated$
$BRG Lone Star$,$brg lone star$,$brg$,$curated$
$BRG Lone Star LTD$,$brg lone star ltd$,$brg$,$curated$
$BRG Lone star LTD$,$brg lone star ltd$,$brg$,$curated$
$BRG Petroleum$,$brg petroleum$,$brg$,$curated$
$BRG Petroleum LLC$,$brg petroleum llc$,$brg$,$curated$
$Bridon Energy LLC$,$bridon energy llc$,$bridon energy$,$curated$
$Bridwell Oil Company$,$bridwell oil company$,$bridwell oil company$,$curated$
$Brigadier$,$brigadier$,$brigadier$,$curated$
$Brigadier Opearting, LLC$,$brigadier opearting, llc$,$brigadier$,$curated$
$Brigadier Operating LLC$,$brigadier operating llc$,$brigadier$,$curated$
$Brigadier Operating, LLC$,$brigadier operating, llc$,$brigadier$,$curated$
$Brigham Oil & Gas, L.P.$,$brigham oil & gas, l.p.$,$brigham$,$curated$
$Brigham Oil &amp; Gas, L.P.$,$brigham oil &amp; gas, l.p.$,$brigham$,$curated$
$Brigham Resources$,$brigham resources$,$brigham$,$curated$
$Brigham Resources Operating, LLC$,$brigham resources operating, llc$,$brigham$,$curated$
$Bright Horizon Resources$,$bright horizon resources$,$bright horizon resources$,$curated$
$BRIX OPERATING LLC$,$brix operating llc$,$brix operating$,$curated$
$Broad Oak$,$broad oak$,$broad oak$,$curated$
$Broad Oak Energy II LLC$,$broad oak energy ii llc$,$broad oak$,$curated$
$Broad Oak Energy II llc$,$broad oak energy ii llc$,$broad oak$,$curated$
$Brooks Range Petroleum Corporation$,$brooks range petroleum corporation$,$brooks range petroleum corporation$,$curated$
$Brown Oil & Gas$,$brown oil & gas$,$brown oil & gas$,$curated$
$BROWN, GEORGE R PARTNERSHIP, LP, THE$,$brown, george r partnership, lp, the$,$brown, george r partnership$,$curated$
$Browning Oil$,$browning oil$,$browning oil$,$curated$
$Browning Oil Company, Inc.$,$browning oil company, inc.$,$browning oil$,$curated$
$BRT$,$brt$,$brt$,$curated$
$Bruin E&P Operating, LLC$,$bruin e&p operating, llc$,$bruin e&p operating$,$curated$
$Bryan Henderson Co$,$bryan henderson co$,$bryan henderson co$,$curated$
$BSC Fluids$,$bsc fluids$,$bsc fluids$,$curated$
$Bsker Hughes$,$bsker hughes$,$baker$,$curated$
$BTA$,$bta$,$bta$,$curated$
$BTA  Oil Producers$,$bta  oil producers$,$bta$,$curated$
$BTA Oil$,$bta oil$,$bta$,$curated$
$BTA Oil Producers$,$bta oil producers$,$bta$,$curated$
$BTA OIL PRODUCERS$,$bta oil producers$,$bta$,$curated$
$BTA Oil Producers LLC$,$bta oil producers llc$,$bta$,$curated$
$BTLT 100%$,$btlt 100%$,$ambiguous$,$curated$
$BTLT Water well$,$btlt water well$,$ambiguous$,$curated$
$BTLT Water Well$,$btlt water well$,$ambiguous$,$curated$
$BTT$,$btt$,$ambiguous$,$curated$
$Buck Laborities$,$buck laborities$,$buckman laboratories$,$curated$
$Buckeye Oil Producing Company$,$buckeye oil producing company$,$buckeye oil producing company$,$curated$
$Buckman Lab$,$buckman lab$,$buckman laboratories$,$curated$
$Buckman Lab.$,$buckman lab.$,$buckman laboratories$,$curated$
$Buckman Laboratories$,$buckman laboratories$,$buckman laboratories$,$curated$
$Buckman Laboratories Inc$,$buckman laboratories inc$,$buckman laboratories$,$curated$
$Buckman Laborities$,$buckman laborities$,$buckman laboratories$,$curated$
$Buckman Laboritories$,$buckman laboritories$,$buckman laboratories$,$curated$
$Buckman Tech.$,$buckman tech.$,$buckman laboratories$,$curated$
$Buffco$,$buffco$,$buffco$,$curated$
$Buffco Production$,$buffco production$,$buffco$,$curated$
$Buffco Production Inc$,$buffco production inc$,$buffco$,$curated$
$Buffco Production, Inc$,$buffco production, inc$,$buffco$,$curated$
$Buffco Production, Inc.$,$buffco production, inc.$,$buffco$,$curated$
$Buffco Production,Inc$,$buffco production,inc$,$buffco$,$curated$
$Bule Ribbon$,$bule ribbon$,$blue ribbon$,$curated$
$Bulk Acid$,$bulk acid$,$not a company$,$curated$
$Bulldog Operating Company$,$bulldog operating company$,$bulldog operating company$,$curated$
$Bullet Development, LLC$,$bullet development, llc$,$bullet$,$curated$
$BULLET PRODUCTION SERVICES$,$bullet production services$,$bullet$,$curated$
$Burk Royalty Co., LTD.$,$burk royalty co., ltd.$,$burk royalty$,$curated$
$Burk-Gunn Oil Company$,$burk-gunn oil company$,$burk-gunn oil company$,$curated$
$Burleson Petroleum, Inc.$,$burleson petroleum, inc.$,$burleson petroleum.$,$curated$
$Burnett Oil Co., Inc.$,$burnett oil co., inc.$,$burnett oil$,$curated$
$Bush's$,$bush's$,$bush's$,$curated$
$Butch's$,$butch's$,$butch's$,$curated$
$Butkin Oil Company, LLC$,$butkin oil company, llc$,$butkin oil company$,$curated$
$Butler Petroleum, LLC$,$butler petroleum, llc$,$butler petroleum$,$curated$
$BVX OPerating Inc.$,$bvx operating inc.$,$bvx operating$,$curated$
$BWA$,$bwa$,$bwa water additives$,$curated$
$BWA  Water Additives$,$bwa  water additives$,$bwa water additives$,$curated$
$BWA Additives$,$bwa additives$,$bwa water additives$,$curated$
$BWA Water$,$bwa water$,$bwa water additives$,$curated$
$BWA Water aAdditives$,$bwa water aadditives$,$bwa water additives$,$curated$
$BWA Water Adadditives$,$bwa water adadditives$,$bwa water additives$,$curated$
$BWA Water Addatives$,$bwa water addatives$,$bwa water additives$,$curated$
$BWA Water Addictives$,$bwa water addictives$,$bwa water additives$,$curated$
$BWA Water Addiotives$,$bwa water addiotives$,$bwa water additives$,$curated$
$BWA Water Additive$,$bwa water additive$,$bwa water additives$,$curated$
$BWA Water Additive US LLC$,$bwa water additive us llc$,$bwa water additives$,$curated$
$BWA Water Additives$,$bwa water additives$,$bwa water additives$,$curated$
$BWA Water additives$,$bwa water additives$,$bwa water additives$,$curated$
$BWA Water Additives BWA Water Additives$,$bwa water additives bwa water additives$,$bwa water additives$,$curated$
$BWA Water Additives Halliburton Energy Services Halliburton energy services$,$bwa water additives halliburton energy services halliburton energy services$,$bwa water additives$,$curated$
$BWA Water Additives LLC$,$bwa water additives llc$,$bwa water additives$,$curated$
$BWA Water Additives US$,$bwa water additives us$,$bwa water additives$,$curated$
$BWA Water Additives US LLC$,$bwa water additives us llc$,$bwa water additives$,$curated$
$BWA WAter Additives US LLC$,$bwa water additives us llc$,$bwa water additives$,$curated$
$BWA Water Additives US LLV$,$bwa water additives us llv$,$bwa water additives$,$curated$
$BWA Water Additives US LLX$,$bwa water additives us llx$,$bwa water additives$,$curated$
$BWA Water Additives US, LLC$,$bwa water additives us, llc$,$bwa water additives$,$curated$
$BWA Water Additives USA$,$bwa water additives usa$,$bwa water additives$,$curated$
$BWA Water Additives, LLC$,$bwa water additives, llc$,$bwa water additives$,$curated$
$BWA Water Additivie$,$bwa water additivie$,$bwa water additives$,$curated$
$BWA Water Addittives$,$bwa water addittives$,$bwa water additives$,$curated$
$BWA Water Additves$,$bwa water additves$,$bwa water additives$,$curated$
$BWA Water Additvies$,$bwa water additvies$,$bwa water additives$,$curated$
$BWA Water Analysis$,$bwa water analysis$,$bwa water additives$,$curated$
$BWA Water Water Additives$,$bwa water water additives$,$bwa water additives$,$curated$
$BWA Watter Additives$,$bwa watter additives$,$bwa water additives$,$curated$
$BWS Water Additives$,$bws water additives$,$bwa water additives$,$curated$
$C$,$c$,$ambiguous$,$curated$
$C  J$,$c  j$,$c&j$,$curated$
$C  J  Energry Services Inc.$,$c  j  energry services inc.$,$c&j$,$curated$
$C  J  Energy Services$,$c  j  energy services$,$c&j$,$curated$
$C  J Energy Services$,$c  j energy services$,$c&j$,$curated$
$C  J Energy Services Inc$,$c  j energy services inc$,$c&j$,$curated$
$C  J Energy Services, Inc.$,$c  j energy services, inc.$,$c&j$,$curated$
$C & C Productions, LLC$,$c & c productions, llc$,$c & c productions$,$curated$
$C & J$,$c & j$,$c&j$,$curated$
$C & J Energy$,$c & j energy$,$c&j$,$curated$
$C and J$,$c and j$,$c&j$,$curated$
$C and J (Nabors)$,$c and j (nabors)$,$c&j$,$curated$
$C and J Energy Services$,$c and j energy services$,$c&j$,$curated$
$C AND J SERVICES$,$c and j services$,$c&j$,$curated$
$C J Energy Services$,$c j energy services$,$c&j$,$curated$
$C J Well Services$,$c j well services$,$c&j$,$curated$
$C.$,$c.$,$ambiguous$,$curated$
$C. E. Harmon Oil, Inc.$,$c. e. harmon oil, inc.$,$c. e. harmon oil$,$curated$
$C&J$,$c&j$,$c&j$,$curated$
$C&J Energy$,$c&j energy$,$c&j$,$curated$
$C&J Energy Servicees$,$c&j energy servicees$,$c&j$,$curated$
$C&J Energy Services$,$c&j energy services$,$c&j$,$curated$
$C&J SPEC-RENT SERVICES INC (CJES)$,$c&j spec-rent services inc (cjes)$,$c&j$,$curated$
$C&J Trucks$,$c&j trucks$,$c&j$,$curated$
$C&J Well Services$,$c&j well services$,$c&j$,$curated$
$C1611663$,$c1611663$,$not a company$,$curated$
$C6 Operating$,$c6 operating$,$c6 operating$,$curated$
$C6 Operating, LLC$,$c6 operating, llc$,$c6 operating$,$curated$
$CABOT$,$cabot$,$cabot$,$curated$
$Cabot$,$cabot$,$cabot$,$curated$
$Cabot O & G$,$cabot o & g$,$cabot$,$curated$
$Cabot O&G$,$cabot o&g$,$cabot$,$curated$
$Cabot Oil & Gas$,$cabot oil & gas$,$cabot$,$curated$
$CABOT OIL & GAS$,$cabot oil & gas$,$cabot$,$curated$
$Cabot Oil & Gas Corp$,$cabot oil & gas corp$,$cabot$,$curated$
$CABOT OIL & GAS CORP$,$cabot oil & gas corp$,$cabot$,$curated$
$Cabot Oil & Gas Corporation$,$cabot oil & gas corporation$,$cabot$,$curated$
$Cabot Oil &amp; Gas Corp$,$cabot oil &amp; gas corp$,$cabot$,$curated$
$Cabot Oil and Gas$,$cabot oil and gas$,$cabot$,$curated$
$Cabot Oil and Gas Corp.$,$cabot oil and gas corp.$,$cabot$,$curated$
$Cadre$,$cadre$,$cadre$,$curated$
$Cadre Proppant$,$cadre proppant$,$cadre$,$curated$
$CADRE PROPPANT$,$cadre proppant$,$cadre$,$curated$
$Cadre Proppants$,$cadre proppants$,$cadre$,$curated$
$CADRE PROPPANTS$,$cadre proppants$,$cadre$,$curated$
$Caelus Energy$,$caelus energy$,$caelus energy$,$curated$
$CAERUS$,$caerus$,$caerus$,$curated$
$Caerus$,$caerus$,$caerus$,$curated$
$Caerus Oil and Gas LLC$,$caerus oil and gas llc$,$caerus$,$curated$
$CAF$,$caf$,$caf$,$curated$
$CAGE$,$cage$,$cage$,$curated$
$Cage$,$cage$,$cage$,$curated$
$Caird Operating, LLC$,$caird operating, llc$,$caird operating$,$curated$
$Cal Chlor$,$cal chlor$,$cal chlor$,$curated$
$Cal Frac Well Services$,$cal frac well services$,$calfrac$,$curated$
$Calcium Chloride$,$calcium chloride$,$not a company$,$curated$
$Caldwell$,$caldwell$,$caldwell$,$curated$
$CALFRAC$,$calfrac$,$calfrac$,$curated$
$Calfrac$,$calfrac$,$calfrac$,$curated$
$CalFrac$,$calfrac$,$calfrac$,$curated$
$CalFrac & Range Resources$,$calfrac & range resources$,$calfrac$,$curated$
$Calfrac Well$,$calfrac well$,$calfrac$,$curated$
$Calfrac Well Services$,$calfrac well services$,$calfrac$,$curated$
$CalFrac Well Services$,$calfrac well services$,$calfrac$,$curated$
$Calfrac Well Services Corp.$,$calfrac well services corp.$,$calfrac$,$curated$
$Calfrac Well Services Ltd.$,$calfrac well services ltd.$,$calfrac$,$curated$
$California Drilling Fluids$,$california drilling fluids$,$california drilling fluids$,$curated$
$California Resources Corporation$,$california resources corporation$,$california resources corporation$,$curated$
$Callon$,$callon$,$callon$,$curated$
$Callon Petroleum$,$callon petroleum$,$callon$,$curated$
$Callon Petroleum Operating Company$,$callon petroleum operating company$,$callon$,$curated$
$Calyx$,$calyx$,$calyx$,$curated$
$Calyx Energy III, LLC$,$calyx energy iii, llc$,$calyx$,$curated$
$Calyx Energy, LLC$,$calyx energy, llc$,$calyx$,$curated$
$Cambrian$,$cambrian$,$cambrian$,$curated$
$Cambrian Management$,$cambrian management$,$cambrian$,$curated$
$Cambrian Management, Ltd$,$cambrian management, ltd$,$cambrian$,$curated$
$Camino$,$camino$,$camino$,$curated$
$Camino Natural Resources, LLC$,$camino natural resources, llc$,$camino$,$curated$
$Campbell Oil & Gas. Inc$,$campbell oil & gas. inc$,$campbell oil & gas$,$curated$
$Campion$,$campion$,$champion$,$curated$
$Canan Mowrey Operating, LLC$,$canan mowrey operating, llc$,$canan$,$curated$
$Canan Operating, Inc.$,$canan operating, inc.$,$canan$,$curated$
$Cand J Energy Services$,$cand j energy services$,$c&j$,$curated$
$Canrig$,$canrig$,$canrig$,$curated$
$Cantera Energy, LLC$,$cantera energy, llc$,$cantera$,$curated$
$Cantera Operating LLC$,$cantera operating llc$,$cantera$,$curated$
$Canyon Creek Energy Operating, LLC$,$canyon creek energy operating, llc$,$canyon creek energy operating$,$curated$
$CAP Energy$,$cap energy$,$cap energy$,$curated$
$Capital Sand$,$capital sand$,$capital sand$,$curated$
$Capital Sand Permian$,$capital sand permian$,$capital sand$,$curated$
$CAPITAL SAND PERMIAN LLC$,$capital sand permian llc$,$capital sand$,$curated$
$Capitan Energy INC$,$capitan energy inc$,$capitan energy$,$curated$
$Capstone$,$capstone$,$capstone$,$curated$
$Capstone N. R.$,$capstone n. r.$,$capstone$,$curated$
$Capstone Natural Resources$,$capstone natural resources$,$capstone$,$curated$
$Capstone Natural Resources II, LLC$,$capstone natural resources ii, llc$,$capstone$,$curated$
$Capstone Natural Resources, LLC$,$capstone natural resources, llc$,$capstone$,$curated$
$Capstone Natural Resourcs$,$capstone natural resourcs$,$capstone$,$curated$
$Captiva Energy Partners LLC$,$captiva energy partners llc$,$captiva energy partners$,$curated$
$Caraway Operating Company$,$caraway operating company$,$caraway operating company$,$curated$
$CARBO$,$carbo$,$carbo$,$curated$
$Carbo$,$carbo$,$carbo$,$curated$
$Carbo Ceramic Inc$,$carbo ceramic inc$,$carbo$,$curated$
$Carbo Ceramic Inc.$,$carbo ceramic inc.$,$carbo$,$curated$
$CARBO Ceramics$,$carbo ceramics$,$carbo$,$curated$
$Carbo ceramics$,$carbo ceramics$,$carbo$,$curated$
$Carbo Ceramics$,$carbo ceramics$,$carbo$,$curated$
$CARBO Ceramics inc$,$carbo ceramics inc$,$carbo$,$curated$
$Carbo Ceramics Inc$,$carbo ceramics inc$,$carbo$,$curated$
$CARBO Ceramics Inc$,$carbo ceramics inc$,$carbo$,$curated$
$Carbo Ceramics Inc.$,$carbo ceramics inc.$,$carbo$,$curated$
$CARBO Ceramics Inc.$,$carbo ceramics inc.$,$carbo$,$curated$
$CARBO Ceramics, Inc.$,$carbo ceramics, inc.$,$carbo$,$curated$
$Carbo Ceramics, Inc.$,$carbo ceramics, inc.$,$carbo$,$curated$
$CarboCerami cs$,$carbocerami cs$,$carbo$,$curated$
$CarboCeramics$,$carboceramics$,$carbo$,$curated$
$CarbonFree Chemicals$,$carbonfree chemicals$,$carbonfree chemicals$,$curated$
$Carbonfree Chemicals$,$carbonfree chemicals$,$carbonfree chemicals$,$curated$
$Carbonfree Chemicals SPE I, LLC$,$carbonfree chemicals spe i, llc$,$carbonfree chemicals$,$curated$
$Carechem24$,$carechem24$,$carechem24$,$curated$
